unit_id,grade,schid,tchid,classtype,classsize,tested_n,assigned_n,teacher_tgen,teacher_tgen_imputed,teacher_trace,teacher_trace_imputed,teacher_thighdegree,teacher_thighdegree_imputed,teacher_tyears,teacher_tyears_imputed,share_female_n,share_black_n,share_freelunch_n,share_female,share_black,share_freelunch,school_urban,school_fl_official,school_fl_n_grades,school_fl_student
g1_161176_16117605,g1,161176,16117605,2,26.0,26,26,2.0,False,1.0,False,2.0,False,4.0,False,26,26,26,0.5,0.0,0.46153846153846156,3.0,0.4,4,0.5052631578947369
g1_161176_16117606,g1,161176,16117606,3,27.0,26,27,2.0,False,1.0,False,2.0,False,6.0,False,27,27,27,0.4074074074074074,0.0,0.48148148148148145,3.0,0.4,4,0.5052631578947369
g1_161176_16117607,g1,161176,16117607,1,17.0,17,17,2.0,False,1.0,False,3.0,False,6.0,False,17,17,17,0.4117647058823529,0.0,0.5294117647058824,3.0,0.4,4,0.5052631578947369
g1_161176_16117608,g1,161176,16117608,3,26.0,22,26,2.0,False,1.0,False,2.0,False,31.0,False,26,26,25,0.34615384615384615,0.0,0.56,3.0,0.4,4,0.5052631578947369
g1_161183_16118307,g1,161183,16118307,2,22.0,19,22,2.0,False,1.0,False,2.0,False,8.0,False,22,22,21,0.45454545454545453,0.0,0.7142857142857143,3.0,0.5825,4,0.45535714285714285
g1_161183_16118308,g1,161183,16118308,2,21.0,20,21,2.0,False,1.0,False,2.0,False,15.0,False,21,21,20,0.42857142857142855,0.0,0.45,3.0,0.5825,4,0.45535714285714285
g1_161183_16118309,g1,161183,16118309,3,23.0,21,23,2.0,False,2.0,False,2.0,False,14.0,False,23,23,23,0.4782608695652174,0.0,0.6086956521739131,3.0,0.5825,4,0.45535714285714285
g1_161183_16118310,g1,161183,16118310,3,20.0,18,20,2.0,False,1.0,False,3.0,False,7.0,False,20,20,20,0.35,0.05,0.0,3.0,0.5825,4,0.45535714285714285
g1_161183_16118311,g1,161183,16118311,1,15.0,15,15,1.0,False,1.0,False,3.0,False,7.0,False,15,15,14,0.4666666666666667,0.0,0.42857142857142855,3.0,0.5825,4,0.45535714285714285
g1_162184_16218405,g1,162184,16218405,2,20.0,20,20,2.0,False,1.0,False,2.0,False,12.0,False,20,20,20,0.55,0.0,0.7,3.0,0.635,4,0.6911764705882353
g1_162184_16218407,g1,162184,16218407,3,21.0,21,21,2.0,False,1.0,False,3.0,False,2.0,False,21,21,21,0.6190476190476191,0.0,0.7142857142857143,3.0,0.635,4,0.6911764705882353
g1_164198_16419804,g1,164198,16419804,2,24.0,24,24,2.0,False,1.0,False,2.0,False,2.0,False,24,24,24,0.625,0.08333333333333333,0.25,3.0,0.365,4,0.2833333333333333
g1_164198_16419805,g1,164198,16419805,3,23.0,22,23,2.0,False,1.0,False,3.0,False,12.0,False,23,23,23,0.43478260869565216,0.043478260869565216,0.34782608695652173,3.0,0.365,4,0.2833333333333333
g1_165199_16519905,g1,165199,16519905,2,22.0,22,22,2.0,False,1.0,False,3.0,False,3.0,False,22,22,22,0.45454545454545453,0.045454545454545456,0.13636363636363635,4.0,0.2,4,0.19298245614035087
g1_165199_16519906,g1,165199,16519906,3,22.0,22,22,2.0,False,1.0,False,3.0,False,14.0,False,22,22,21,0.5454545454545454,0.09090909090909091,0.23809523809523808,4.0,0.2,4,0.19298245614035087
g1_166203_16620306,g1,166203,16620306,2,21.0,18,21,2.0,False,1.0,False,2.0,False,11.0,False,21,21,21,0.5238095238095238,0.19047619047619047,0.8571428571428571,4.0,0.6025,4,0.7719298245614035
g1_166203_16620307,g1,166203,16620307,3,23.0,21,23,2.0,False,1.0,False,3.0,False,15.0,False,23,23,23,0.4782608695652174,0.0,0.8260869565217391,4.0,0.6025,4,0.7719298245614035
g1_168211_16821107,g1,168211,16821107,3,30.0,23,30,2.0,False,1.0,False,2.0,False,17.0,False,29,29,19,0.4827586206896552,0.0,0.8947368421052632,3.0,0.5675,4,0.7053571428571429
g1_168211_16821108,g1,168211,16821108,3,29.0,22,29,2.0,False,1.0,False,2.0,False,13.0,False,28,26,29,0.4642857142857143,0.038461538461538464,0.8275862068965517,3.0,0.5675,4,0.7053571428571429
g1_168211_16821109,g1,168211,16821109,1,17.0,17,17,2.0,False,1.0,False,3.0,False,12.0,False,17,17,17,0.5882352941176471,0.0,0.29411764705882354,3.0,0.5675,4,0.7053571428571429
g1_168211_16821110,g1,168211,16821110,2,30.0,23,30,2.0,False,1.0,False,2.0,False,0.0,False,29,27,29,0.6206896551724138,0.0,0.6896551724137931,3.0,0.5675,4,0.7053571428571429
g1_168214_16821405,g1,168214,16821405,2,23.0,23,23,2.0,False,1.0,False,2.0,False,11.0,False,23,23,23,0.6086956521739131,0.0,0.30434782608695654,3.0,0.2825,4,0.3125
g1_168214_16821406,g1,168214,16821406,3,25.0,23,25,2.0,False,1.0,False,2.0,False,16.0,False,23,23,24,0.5652173913043478,0.0,0.25,3.0,0.2825,4,0.3125
g1_169219_16921904,g1,169219,16921904,1,17.0,17,17,2.0,False,1.0,False,2.0,False,13.0,False,17,17,17,0.5882352941176471,0.17647058823529413,0.47058823529411764,2.0,0.185,4,0.3434343434343434
g1_169219_16921905,g1,169219,16921905,1,17.0,15,17,2.0,False,1.0,False,2.0,False,12.0,False,17,17,17,0.5882352941176471,0.17647058823529413,0.11764705882352941,2.0,0.185,4,0.3434343434343434
g1_169219_16921906,g1,169219,16921906,2,22.0,19,22,2.0,False,2.0,False,2.0,False,2.0,False,22,22,22,0.5,0.4090909090909091,0.5,2.0,0.185,4,0.3434343434343434
g1_169219_16921907,g1,169219,16921907,3,22.0,21,22,2.0,False,1.0,False,3.0,False,13.0,False,22,22,22,0.5454545454545454,0.3181818181818182,0.36363636363636365,2.0,0.185,4,0.3434343434343434
g1_169219_16921908,g1,169219,16921908,2,21.0,21,21,2.0,False,1.0,False,2.0,False,1.0,False,21,21,21,0.7142857142857143,0.2857142857142857,0.23809523809523808,2.0,0.185,4,0.3434343434343434
g1_169229_16922908,g1,169229,16922908,1,16.0,16,16,2.0,False,1.0,False,3.0,False,14.0,False,16,16,16,0.375,0.375,0.25,2.0,0.28,4,0.39574468085106385
g1_169229_16922909,g1,169229,16922909,1,16.0,16,16,2.0,False,1.0,False,2.0,False,9.0,False,16,16,16,0.4375,0.125,0.3125,2.0,0.28,4,0.39574468085106385
g1_169229_16922910,g1,169229,16922910,1,17.0,17,17,2.0,False,1.0,False,2.0,False,23.0,False,17,17,17,0.5882352941176471,0.35294117647058826,0.11764705882352941,2.0,0.28,4,0.39574468085106385
g1_169229_16922911,g1,169229,16922911,2,21.0,21,21,2.0,False,2.0,False,3.0,False,7.0,False,21,20,21,0.3333333333333333,0.35,0.42857142857142855,2.0,0.28,4,0.39574468085106385
g1_169229_16922912,g1,169229,16922912,3,21.0,21,21,2.0,False,1.0,False,2.0,False,2.0,False,21,21,21,0.7142857142857143,0.2857142857142857,0.47619047619047616,2.0,0.28,4,0.39574468085106385
g1_169229_16922913,g1,169229,16922913,3,21.0,21,21,2.0,False,1.0,False,3.0,False,20.0,False,21,21,21,0.47619047619047616,0.42857142857142855,0.3333333333333333,2.0,0.28,4,0.39574468085106385
g1_169229_16922914,g1,169229,16922914,2,20.0,20,20,2.0,False,1.0,False,2.0,False,7.0,False,20,20,20,0.4,0.45,0.5,2.0,0.28,4,0.39574468085106385
g1_169229_16922915,g1,169229,16922915,3,22.0,21,22,2.0,False,1.0,False,2.0,False,6.0,False,22,22,22,0.36363636363636365,0.5,0.45454545454545453,2.0,0.28,4,0.39574468085106385
g1_169229_16922916,g1,169229,16922916,2,21.0,21,21,2.0,False,2.0,False,2.0,False,1.0,False,21,21,21,0.42857142857142855,0.5238095238095238,0.47619047619047616,2.0,0.28,4,0.39574468085106385
g1_169229_16922917,g1,169229,16922917,2,21.0,21,21,2.0,False,1.0,False,3.0,False,12.0,False,21,21,20,0.47619047619047616,0.2857142857142857,0.5,2.0,0.28,4,0.39574468085106385
g1_169229_16922918,g1,169229,16922918,3,22.0,22,22,2.0,False,1.0,False,2.0,False,4.0,False,22,22,21,0.5,0.4090909090909091,0.47619047619047616,2.0,0.28,4,0.39574468085106385
g1_169229_16922919,g1,169229,16922919,2,20.0,20,20,2.0,False,1.0,False,3.0,False,13.0,False,20,20,19,0.45,0.5,0.3157894736842105,2.0,0.28,4,0.39574468085106385
g1_169231_16923105,g1,169231,16923105,3,21.0,21,21,2.0,False,1.0,False,2.0,False,7.0,False,21,21,21,0.5238095238095238,0.38095238095238093,0.6190476190476191,1.0,0.63,4,0.6136363636363636
g1_169231_16923106,g1,169231,16923106,2,19.0,19,19,2.0,False,2.0,False,2.0,False,14.0,False,19,19,19,0.42105263157894735,0.47368421052631576,0.6842105263157895,1.0,0.63,4,0.6136363636363636
g1_169231_16923108,g1,169231,16923108,2,19.0,18,19,2.0,False,2.0,False,2.0,False,8.0,False,19,19,19,0.42105263157894735,0.3684210526315789,0.6842105263157895,1.0,0.63,4,0.6136363636363636
g1_169280_16928004,g1,169280,16928004,1,16.0,16,16,2.0,False,1.0,False,2.0,False,23.0,False,16,16,16,0.5,0.25,0.375,2.0,0.25,4,0.40963855421686746
g1_169280_16928005,g1,169280,16928005,1,17.0,15,17,2.0,False,1.0,False,2.0,False,4.0,False,17,17,17,0.47058823529411764,0.17647058823529413,0.4117647058823529,2.0,0.25,4,0.40963855421686746
g1_169280_16928006,g1,169280,16928006,2,25.0,25,25,2.0,False,1.0,False,2.0,False,3.0,False,25,25,25,0.6,0.2,0.44,2.0,0.25,4,0.40963855421686746
g1_169280_16928007,g1,169280,16928007,3,25.0,24,25,2.0,False,1.0,False,2.0,False,4.0,False,25,25,25,0.6,0.2,0.4,2.0,0.25,4,0.40963855421686746
g1_170295_17029505,g1,170295,17029505,3,23.0,23,23,2.0,False,1.0,False,2.0,False,1.0,False,23,23,23,0.43478260869565216,0.043478260869565216,0.5217391304347826,3.0,0.4975,4,0.5930232558139535
g1_170295_17029506,g1,170295,17029506,2,22.0,22,22,2.0,False,1.0,False,3.0,False,13.0,False,22,22,22,0.4090909090909091,0.09090909090909091,0.5909090909090909,3.0,0.4975,4,0.5930232558139535
g1_170295_17029507,g1,170295,17029507,3,23.0,23,23,2.0,False,1.0,False,3.0,False,11.0,False,23,23,23,0.4782608695652174,0.0,0.6086956521739131,3.0,0.4975,4,0.5930232558139535
g1_170295_17029508,g1,170295,17029508,1,18.0,16,18,2.0,False,1.0,False,2.0,False,3.0,False,18,18,18,0.6111111111111112,0.0,0.6666666666666666,3.0,0.4975,4,0.5930232558139535
g1_173312_17331204,g1,173312,17331204,1,16.0,15,16,2.0,False,1.0,False,2.0,False,31.0,False,16,16,16,0.75,0.125,0.3125,3.0,0.355,4,0.43037974683544306
g1_173312_17331205,g1,173312,17331205,2,21.0,21,21,2.0,False,1.0,False,3.0,False,11.0,False,21,21,21,0.5238095238095238,0.14285714285714285,0.38095238095238093,3.0,0.355,4,0.43037974683544306
g1_173312_17331206,g1,173312,17331206,2,20.0,20,20,2.0,False,1.0,False,2.0,False,16.0,False,20,20,20,0.45,0.25,0.5,3.0,0.355,4,0.43037974683544306
g1_173312_17331207,g1,173312,17331207,3,22.0,21,22,2.0,False,1.0,False,2.0,False,16.0,False,22,22,22,0.45454545454545453,0.13636363636363635,0.5,3.0,0.355,4,0.43037974683544306
g1_176329_17632905,g1,176329,17632905,1,15.0,15,15,2.0,False,1.0,False,2.0,False,27.0,False,15,15,15,0.4666666666666667,0.0,0.6666666666666666,3.0,0.69,4,0.76
g1_176329_17632906,g1,176329,17632906,2,23.0,23,23,2.0,False,1.0,False,2.0,False,1.0,False,23,23,23,0.6086956521739131,0.0,0.782608695652174,3.0,0.69,4,0.76
g1_176329_17632907,g1,176329,17632907,3,22.0,21,22,2.0,False,1.0,False,2.0,False,5.0,False,22,22,22,0.5,0.0,0.8636363636363636,3.0,0.69,4,0.76
g1_180344_18034406,g1,180344,18034406,3,22.0,20,22,2.0,False,1.0,False,3.0,False,11.0,False,22,22,21,0.45454545454545453,0.36363636363636365,0.5714285714285714,4.0,0.41,2,0.41739130434782606
g1_180344_18034407,g1,180344,18034407,2,22.0,21,22,2.0,False,1.0,False,2.0,False,20.0,False,22,22,21,0.45454545454545453,0.3181818181818182,0.2857142857142857,4.0,0.41,2,0.41739130434782606
g1_180344_18034408,g1,180344,18034408,2,20.0,20,20,2.0,False,1.0,False,2.0,False,1.0,False,20,20,20,0.45,0.3,0.35,4.0,0.41,2,0.41739130434782606
g1_180344_18034409,g1,180344,18034409,3,21.0,19,21,2.0,False,1.0,False,2.0,False,22.0,False,21,21,21,0.38095238095238093,0.23809523809523808,0.42857142857142855,4.0,0.41,2,0.41739130434782606
g1_180344_18034410,g1,180344,18034410,1,16.0,15,16,2.0,False,1.0,False,3.0,False,13.0,False,16,16,16,0.6875,0.25,0.5625,4.0,0.41,2,0.41739130434782606
g1_180344_18034411,g1,180344,18034411,1,16.0,15,16,2.0,False,1.0,False,3.0,False,15.0,False,16,16,16,0.6875,0.25,0.3125,4.0,0.41,2,0.41739130434782606
g1_189378_18937805,g1,189378,18937805,1,15.0,15,15,2.0,False,1.0,False,3.0,False,2.0,False,15,15,15,0.3333333333333333,0.0,0.3333333333333333,3.0,0.305,4,0.30952380952380953
g1_189378_18937806,g1,189378,18937806,3,23.0,23,23,2.0,False,1.0,False,3.0,False,23.0,False,23,23,23,0.5217391304347826,0.043478260869565216,0.34782608695652173,3.0,0.305,4,0.30952380952380953
g1_189378_18937807,g1,189378,18937807,3,23.0,23,23,2.0,False,1.0,False,3.0,False,15.0,False,23,23,23,0.43478260869565216,0.043478260869565216,0.34782608695652173,3.0,0.305,4,0.30952380952380953
g1_189378_18937808,g1,189378,18937808,2,23.0,23,23,2.0,False,1.0,False,2.0,False,6.0,False,23,23,23,0.4782608695652174,0.0,0.21739130434782608,3.0,0.305,4,0.30952380952380953
g1_189382_18938205,g1,189382,18938205,1,17.0,17,17,2.0,False,1.0,False,2.0,False,19.0,False,17,17,17,0.47058823529411764,0.0,0.058823529411764705,2.0,0.0525,4,0.06097560975609756
g1_189382_18938206,g1,189382,18938206,2,22.0,22,22,2.0,False,1.0,False,3.0,False,5.0,False,22,22,22,0.45454545454545453,0.0,0.13636363636363635,2.0,0.0525,4,0.06097560975609756
g1_189382_18938207,g1,189382,18938207,2,22.0,22,22,2.0,False,1.0,False,3.0,False,18.0,False,22,22,21,0.4090909090909091,0.0,0.0,2.0,0.0525,4,0.06097560975609756
g1_189382_18938208,g1,189382,18938208,3,22.0,22,22,2.0,False,1.0,False,6.0,False,11.0,False,22,22,22,0.45454545454545453,0.0,0.045454545454545456,2.0,0.0525,4,0.06097560975609756
g1_189396_18939604,g1,189396,18939604,1,15.0,15,15,2.0,False,1.0,False,2.0,False,13.0,False,15,15,15,0.4,0.13333333333333333,0.13333333333333333,3.0,0.39,4,0.5416666666666666
g1_189396_18939605,g1,189396,18939605,1,17.0,17,17,2.0,False,1.0,False,3.0,False,11.0,False,17,17,17,0.47058823529411764,0.058823529411764705,0.7058823529411765,3.0,0.39,4,0.5416666666666666
g1_189396_18939606,g1,189396,18939606,2,21.0,21,21,2.0,False,1.0,False,2.0,False,20.0,False,21,21,20,0.6190476190476191,0.047619047619047616,0.3,3.0,0.39,4,0.5416666666666666
g1_189396_18939607,g1,189396,18939607,3,20.0,19,20,2.0,False,1.0,False,3.0,False,6.0,False,20,20,20,0.4,0.1,0.95,3.0,0.39,4,0.5416666666666666
g1_191411_19141104,g1,191411,19141104,1,16.0,16,16,2.0,False,1.0,False,2.0,False,1.0,False,16,16,16,0.5625,0.0,0.8125,3.0,0.86,4,0.8305084745762712
g1_191411_19141105,g1,191411,19141105,3,21.0,19,21,2.0,False,1.0,False,3.0,False,18.0,False,21,21,21,0.47619047619047616,0.0,0.8571428571428571,3.0,0.86,4,0.8305084745762712
g1_191411_19141106,g1,191411,19141106,2,22.0,22,22,2.0,False,1.0,False,2.0,False,19.0,False,22,22,22,0.5,0.0,0.8181818181818182,3.0,0.86,4,0.8305084745762712
g1_193422_19342204,g1,193422,19342204,1,18.0,18,18,2.0,False,1.0,False,3.0,False,13.0,False,18,18,18,0.3888888888888889,0.2222222222222222,0.4444444444444444,3.0,0.39,4,0.463768115942029
g1_193422_19342205,g1,193422,19342205,3,26.0,26,26,2.0,False,2.0,False,3.0,False,11.0,False,26,26,26,0.5,0.11538461538461539,0.5,3.0,0.39,4,0.463768115942029
g1_193422_19342206,g1,193422,19342206,2,25.0,24,25,2.0,False,1.0,False,2.0,False,20.0,False,25,25,25,0.56,0.04,0.44,3.0,0.39,4,0.463768115942029
g1_193423_19342305,g1,193423,19342305,1,15.0,15,15,2.0,False,1.0,False,2.0,False,6.0,False,15,15,15,0.6,0.13333333333333333,0.4,3.0,0.4725,4,0.4457831325301205
g1_193423_19342307,g1,193423,19342307,3,19.0,19,19,2.0,False,1.0,False,2.0,False,17.0,False,19,19,19,0.3684210526315789,0.10526315789473684,0.47368421052631576,3.0,0.4725,4,0.4457831325301205
g1_193423_19342308,g1,193423,19342308,2,21.0,21,21,2.0,False,1.0,False,2.0,False,7.0,False,21,21,21,0.5238095238095238,0.09523809523809523,0.3333333333333333,3.0,0.4725,4,0.4457831325301205
g1_193423_19342309,g1,193423,19342309,2,22.0,22,22,2.0,False,1.0,False,2.0,False,12.0,False,22,22,14,0.4090909090909091,0.09090909090909091,0.2857142857142857,3.0,0.4725,4,0.4457831325301205
g1_201449_20144907,g1,201449,20144907,1,17.0,16,17,2.0,False,1.0,False,3.0,False,8.0,False,17,17,14,0.5882352941176471,0.058823529411764705,0.5,3.0,0.3275,4,0.4253731343283582
g1_201449_20144908,g1,201449,20144908,1,15.0,15,15,2.0,False,1.0,False,2.0,False,7.0,False,15,15,14,0.4,0.13333333333333333,0.35714285714285715,3.0,0.3275,4,0.4253731343283582
g1_201449_20144909,g1,201449,20144909,1,17.0,15,17,2.0,False,1.0,False,2.0,False,15.0,False,17,17,15,0.5294117647058824,0.11764705882352941,0.3333333333333333,3.0,0.3275,4,0.4253731343283582
g1_201449_20144910,g1,201449,20144910,3,26.0,24,26,2.0,False,1.0,False,2.0,False,9.0,False,26,26,23,0.34615384615384615,0.11538461538461539,0.43478260869565216,3.0,0.3275,4,0.4253731343283582
g1_201449_20144911,g1,201449,20144911,3,25.0,25,25,2.0,False,1.0,False,2.0,False,16.0,False,25,25,22,0.48,0.16,0.4090909090909091,3.0,0.3275,4,0.4253731343283582
g1_201449_20144912,g1,201449,20144912,2,24.0,24,24,2.0,False,1.0,False,2.0,False,21.0,False,24,24,24,0.4583333333333333,0.125,0.4166666666666667,3.0,0.3275,4,0.4253731343283582
g1_201449_20144913,g1,201449,20144913,2,25.0,24,25,2.0,False,1.0,False,3.0,False,42.0,False,25,25,22,0.56,0.08,0.5,3.0,0.3275,4,0.4253731343283582
g1_203452_20345206,g1,203452,20345206,3,24.0,24,24,2.0,False,1.0,False,2.0,False,28.0,False,24,24,0,0.5,0.041666666666666664,0.4444444444444444,3.0,0.3625,4,0.44155844155844154
g1_203452_20345207,g1,203452,20345207,1,17.0,16,17,2.0,False,1.0,False,2.0,False,7.0,False,17,17,16,0.5294117647058824,0.058823529411764705,0.25,3.0,0.3625,4,0.44155844155844154
g1_203452_20345208,g1,203452,20345208,1,17.0,17,17,2.0,False,1.0,False,3.0,False,1.0,False,17,17,16,0.5294117647058824,0.058823529411764705,0.4375,3.0,0.3625,4,0.44155844155844154
g1_203452_20345209,g1,203452,20345209,2,23.0,23,23,2.0,False,1.0,False,2.0,False,19.0,False,23,23,23,0.4782608695652174,0.043478260869565216,0.5217391304347826,3.0,0.3625,4,0.44155844155844154
g1_203452_20345210,g1,203452,20345210,2,22.0,22,22,2.0,False,1.0,False,2.0,False,4.0,False,22,22,22,0.5,0.045454545454545456,0.5,3.0,0.3625,4,0.44155844155844154
g1_203457_20345704,g1,203457,20345704,2,24.0,24,24,2.0,False,1.0,False,2.0,False,8.0,False,24,24,24,0.375,0.08333333333333333,0.5416666666666666,3.0,0.415,4,0.41935483870967744
g1_203457_20345705,g1,203457,20345705,3,23.0,23,23,2.0,False,1.0,False,2.0,False,20.0,False,23,23,23,0.4782608695652174,0.0,0.34782608695652173,3.0,0.415,4,0.41935483870967744
g1_205488_20548805,g1,205488,20548805,1,15.0,15,15,2.0,False,1.0,False,2.0,False,8.0,False,15,15,14,0.4666666666666667,0.13333333333333333,0.07142857142857142,2.0,0.265,4,0.24285714285714285
g1_205488_20548806,g1,205488,20548806,2,19.0,18,19,2.0,False,1.0,False,3.0,False,19.0,False,19,19,19,0.3684210526315789,0.05263157894736842,0.3684210526315789,2.0,0.265,4,0.24285714285714285
g1_205488_20548807,g1,205488,20548807,3,23.0,23,23,2.0,False,1.0,False,2.0,False,3.0,False,23,23,23,0.43478260869565216,0.08695652173913043,0.17391304347826086,2.0,0.265,4,0.24285714285714285
g1_205490_20549004,g1,205490,20549004,3,24.0,24,24,2.0,False,2.0,False,2.0,False,1.0,False,24,24,24,0.25,1.0,0.8333333333333334,1.0,0.965,4,0.9384615384615385
g1_205490_20549005,g1,205490,20549005,2,24.0,24,24,2.0,False,2.0,False,2.0,False,0.0,False,24,24,24,0.2916666666666667,1.0,1.0,1.0,0.965,4,0.9384615384615385
g1_205490_20549006,g1,205490,20549006,1,17.0,17,17,2.0,False,1.0,False,2.0,False,1.0,False,17,17,17,0.35294117647058826,1.0,1.0,1.0,0.965,4,0.9384615384615385
g1_205491_20549105,g1,205491,20549105,1,17.0,16,17,2.0,False,1.0,False,3.0,False,16.0,False,17,17,17,0.35294117647058826,0.0,0.29411764705882354,2.0,0.085,4,0.15789473684210525
g1_205491_20549106,g1,205491,20549106,2,18.0,18,18,2.0,False,1.0,False,3.0,False,22.0,False,18,18,18,0.5555555555555556,0.0,0.2222222222222222,2.0,0.085,4,0.15789473684210525
g1_205491_20549107,g1,205491,20549107,3,22.0,22,22,2.0,False,1.0,False,3.0,False,18.0,False,22,22,22,0.5454545454545454,0.0,0.0,2.0,0.085,4,0.15789473684210525
g1_205492_20549205,g1,205492,20549205,3,29.0,29,29,2.0,False,2.0,False,2.0,False,2.0,False,29,29,29,0.3448275862068966,0.8275862068965517,0.8620689655172413,2.0,0.905,4,0.868421052631579
g1_205492_20549206,g1,205492,20549206,2,29.0,28,29,2.0,False,2.0,False,3.0,False,7.0,False,29,29,29,0.5517241379310345,0.8275862068965517,0.9310344827586207,2.0,0.905,4,0.868421052631579
g1_205492_20549207,g1,205492,20549207,1,18.0,18,18,2.0,False,1.0,False,2.0,False,1.0,False,18,18,18,0.6111111111111112,0.8333333333333334,0.7777777777777778,2.0,0.905,4,0.868421052631579
